video,Time(s)-sc,Time(s),Flight Code,Aircraft & origin-destination,flight time,Labeled Time(MM:SS),Labels,Labeled Time(s),,,video lengths(SS),video lengths(MM:SS),video lengths(s)
,29403,1655954762, K9822 , Boeing 777F Singapore - Sydney , Flight Time: 7:10,07:14 , Emirates Skycargo Boeing 777-200F Landing from Singapore ,434,,,,,
,29432,1655954791, QFs , Airbus A380 Dallas - Sydney , Flight Time: 15:30,07:44 , Qantas Airbus A380-800 Landing from Dallas,464,,,,,
,29495,1655954854, DL414 , Boeing 777 Los Angeles - Sydney , Flight Time: 12:15,08:47 , Delta Airlines Boeing 777-200LR Landing from Los Angeles  ,527,,,,,
,29543,1655954902, AA73 , Boeing 777 Los Angeles - Sydney , Flight Time: 12:15,09:35 , American Airlines Boeing 777-300ER Landing from Los Angeles ,575,,,,,
,29581,1655954940, UA2812 , Boeing 787 San Francisco - Sydney , Flight Time: 14:15,10:14 , United Airlines Boeing 787-9 Landing from San Francisco ,614,,,,,
,29617,1655954976, MH6é207 , Airbus A330F Kuala Lumpur - Sydney , Flight Time: 7:00,10:48 , Maskargo Airbus A330-200F Landing from Kuala Lumpur ,648,,,,,
,29651,1655955010, CX28 , Boeing 747F Hong Kong - Sydney , Flight Time 9:00,11:23 , Cathay Pacific Cargo Boeing 747-8F Landing from Hong Kong,683,,,,,
,29683,1655955042, GA71I2 , Alrous A550 Jakarta - Sydney , Flight Time: 7:00,11:55 , Garuda Indonesia Airbus A330-300 Landing from Jakarta ,715,,,,,
,29719,1655955078, FX77 , Boeing 777F Honolulu - Sydney , Flight Time: 10:05,12:31 , FedEx Boeing 777-200F Landing from Honolulu  ,751,,,,,
,29752,1655955111, CAS87 , Airbus A530 Shenzhen - Sydney , Flight Time: 8:45,13:04 , Air China Airbus A330-300 Landing from Shenzhen ,784,,,,,
,29797,1655955156, 5X34 , Boeing 747F Honolulu - Sydney , Flight Time: 7:30,13:48 , UPS Boeing 747-400F Landing from Honolulu ,828,,,,,
,29834,1655955193,45074, Airous A550 Shenzhen - Sydney , Flight Time: 9:30,14:25 , China Southern Airlines Airbus A330-300 Landing from Shenzhen ,865,,,,,
,29866,1655955225, QF20 , Airbus A550 Manila - Sydney , Flight Time: 8:00,14:58 , Qantas Airbus A330-300 Landing from Manila ,898,,,,,
,29904,1655955263, CAG13 , Airbus A530 Shanghai - Sydney , Flight Time: 10:15,15:36 , Air China Airbus A330-300 Landing from Shanghai ,936,,,,,
,29934,1655955293, DL41 , Airbus A350 Los Angeles - Sydney , Flight Time: 12:15,16:05 , Delta Airlines Airbus A350-900 Landing from Los Angeles ,965,,,,,
,29972,1655955331, FX6013 , McDonnell Douglas MD-11F Singapore - Sydney , Flight Time: 7:00,16:44 , McDonnell Douglas MD-11F Landing from Singapore,1004,,,,,
,30007,1655955366, $Q231 , Airbus A380 Singapore - Sydney , Flight Time: 8:00,17:18 , Singapore Airlines Airbus A380-800 Landing from Singapore  ,1038,,,,,
,30078,1655955437, KE121 , Airbus A580 Seoul - Sydney , Flight Time: 10:35,18:29 , Korean Air Airbus A380-800 Landing from Seoul ,1109,,,,,
,30128,1655955487, SQ241 , Boeing 777 Singapore - Sydney , Flight Time: 7:30,19:20 , Singapore Airlines Boeing 777-300ER Landing from Singapore ,1160,,,,,
,30157,1655955516, QRIOS , Airbus A580 Doha - Sydney , Flight Time: 14:15,19:54 , Qatar Airways Airbus A380-800 Landing from Doha ,1194,,,,,
,30186,1655955545, QF7S24 , Boeing 767F Christchurch - Sydney , Flight Time: 3:00,20:18 , Qantas Freight Boeing 767-300F Landing from Christchurch ,1218,,,,,
21,30246,1655955605, CX163 , Boeing 777 Hong Kong - Melbourne , Flight Time: 7:00,00:00 , Cathay Pacific Boeing 777-300 Landing from Hong Kong,0,,,,,
https://youtu.be/HG4VMGPNPZ0,30295,1655955654, QF7480 , BAe-146F Adelaide - Melbourne , Flight Time: 0:45,00:52 , Qantas Freight BAe-146-300QTF Landing from Adelaide ,52,,,,,
,30341,1655955700, $Q207 , Airbus A350 Singapore ~ Melbourne , Flight Time: 7:00,01:38 , Singapore Airlines Airbus A350-900 Landing from Singapore ,98,,,,,
,30400,1655955759, JL773 , Boeing 787 Tokyo - Melbourne , Flight Time: 11:30,02:36 , Japan Airlines Boeing 787-8 Landing from Tokyo ,156,,,,,
,30450,1655955809, EY460 , Boeing 787 Abu Dhabi - Melbourne , Flight Time: 13:30,03:27 , Etihad Airways Boeing 787-9 Landing from Abu Dhabi ,207,,,,,
,30514,1655955873, QR8836 , Boeing 777 Doha - Melbourne , Flight Time: 13:45,04:30 , Qatar Airways Boeing 777-300ER Landing from Doha  ,270,,,,,
,30565,1655955924, QF7433 , Boeing 737F Melbourne - Sydney , Flight Time: 1:00,05:28 , Qantas Freight Boeing 737-300F Takeoff to Sydney  ,328,,,,,
,30601,1655955960, AC2286 , Boeing 777 Melbourne - Auckland , Flight Time: 3:25,06:01 , Air Canada Boeing 777-300ER Takeoff to Auckland ,361,,,,,
,30635,1655955994, SQ208 , Boeing 787 Melbourne - Singapore , Flight Time: 7:00,06:32 , Singapore Airlines Boeing 787-10 Takeoff to Singapore ,392,,,,,
,30668,1655956027, S$Q208 , Airbus A350 Melbourne - Singapore , Flight Time: 7:00,07:05 , Singapore Airlines Airbus A350-900 Takeoff to Singapore ,425,,,,,
,30719,1655956078, QF79 , Airbus A330 Melbourne - Tokyo , Flight Time: 11:15,07:55 , Qantas Airbus A330-300 Takeoff to Tokyo  ,475,,,,,
,30750,1655956109, Ble , Boeing 787 Melbourne - Brunei , Flight Time: 6:00,08:31 , Royal Brunei Airlines Boeing 787-8 Takeoff to Brunei ,511,,,,,
,30801,1655956160, SQ7293 , Boeing 747F Auckland - Melbourne , Flight Time: 3:30,09:17 , Singapore Airlines Cargo Boeing 747-400F Landing from Auckland ,557,,,,,
,30845,1655956204, GA716 , Boeing 777 Jakarta - Melbourne , Flight Time: 6:05,10:02 , Garuda Indonesia Boeing 777-300ER Landing from Jakarta ,602,,,,,
,30922,1655956281, FJq93S , Airbus A330 Nadi - Melbourne , Flight Time: 5:00,11:20 , Fiji Airways Airbus A330-200 Landing from Nadi,680,,,,,
,30970,1655956329, QF37 , Airbus A330 Melbourne - Singapore , Flight Time: 7:00,12:06 , Qantas Airbus A330-300 Takeoff to Singapore ,726,,,,,
,30997,1655956356, UA28S55 , Boeing 777 Melbourne - San Francisco , Flight Time: 14:10,12:34 , United Airlines Boeing 777-300ER Takeoff to Los Angeles ,754,,,,,
,31030,1655956389, CZ344 , Airbus A330 Melbourne - Guangzhou , Flight Time: 4:45,13:06 , China Southern Airlines Airbus A330-300 Takeoff to Gaungzhou ,786,,,,,
,31125,1655956484, QH88 , Boeing 787 Melbourne - Sydney , Flight Time: 1:00,14:41 , Bamboo Airlines Boeing 787-9 Takeoff to Sydney ,881,,,,,
,31231,1655956590, QFqI3 , Airbus A380 Melbourne ~ Los Angeles , Flight Time 13:55,16:31 , Qantas Airbus A380-800 Takeoff to Los Angeles   ,991,,,,,
,31286,1655956645, MH148 , Airbus A330 Melbourne - Kuala Lumpur , Flight Time: 7:30,17:23 , Malaysia Airlines Airbus A330-300 Takeoff to Kuala Lumpur ,1043,,,,,
,31317,1655956676, EK409 , Boeing 777 Melbourne - Dubai , Flight Time: 13:10,17:53 , Emirates Boeing 777-300ER Takeoff to Dubai,1073,,,,,
,31349,1655956708, QF7S5S56 , Boeing 747F Sydney - Melbourne , Flight Time: 1:00,18:22 , Atlas Air Boeing 747-8F Landing from Sydney ,1102,,,,,
,31390,1655956749, JL773 , Boeing 787 Tokyo - Melbourne , Flight Time: 11:30,19:06 , Japan Airlines Boeing 787-8 Landing from Tokyo ,1146,,,,,
,31465,1655956824, QF409 , Airbus A330 Sydney - Melbourne , Flight Time: 1:00,20:22 , Qantas Airbus A330-300 Landing from Sydney ,1222,,,,,
,31482,1655956841, MU737 , Boeing 787 Shanghai - Melbourne , Flight Time: 10:20,20:41 , Shanghai Airlines Boeing 787-9 Landing from Shanghai ,1241,,,,,
22,31543,1655956902, $Q7290 , Boeing 747F Singapore - Sydney , Flight Time: 7:30,00:00 , Singapore Airlines Boeing 747-400F Landing from Singapore  ,0,,,,,
https://youtu.be/yuoRtS-dmMY,31581,1655956940, MH123 , Airbus A330 Kuala Lumpur - Sydney , Flight Time: 8:00,00:42 , Malaysia Airlines Airbus A330-300 Landing from Kuala Lumpur  ,42,,,,,
,31625,1655956984, QFS8O , Airbus A330 Perth - Sydney , Flight Time: 3:45,01:25 , Qantas Airbus A330-300 Landing from Perth ,85,,,,,
,31668,1655957027, AWK1 , Boeing 757F Auckland - Sydney , Flight Time: 3:05,02:08 , Olympus Boeing 757-200F Landing from Auckland  ,128,,,,,
,31704,1655957063, DUB8 , Boeing 747F Dubai - Sydney , Flight Time: 13:45,02:45 , Dubai Air Wing Boeing 747-400F Landing from Dubai ,165,,,,,
,31738,1655957097, YL771 , Boeing 787 Tokyo - Sydney , Flight Time: 9:45,03:18 , Japan Airlines Boeing 787-8 Landing from Tokyo ,198,,,,,
,31768,1655957127, CIst , Airbus A550 Taipei - Sydney , Flight Time: 9:15,03:50 , China Airlines Airbus A330-300 Landing from Taipei,230,,,,,
,31804,1655957163, ASY46@ , Alrous A340 Darwin - Sydney , Flight Time: 2:15,04:25 , HiFly Airbus A340-300 Landing from Brisbane  ,265,,,,,
,31845,1655957204, QFS2S , Boeing 737 Brisbane - Sydney , Flight Time: 0:50,05:08 , Qantas Boeing 737-800 Landing from Brisbane ,308,,,,,
,31888,1655957247, SB140 , Airbus A530neo0 Noumea - Sydney , Flight Time: 2:45,05:48 , Aircalin Airbus A330-900neo Landing from Noumea ,348,,,,,
,31926,1655957285, MH123 , Airbus A330 Kuala Lumpur - Sydney , Flight Time: 8:00,06:27 , Malaysia Airlines Airbus A330-300 Landing from Kuala Lumpur  ,387,,,,,
,31971,1655957330, CX101 , Airbus ASSO Hong Kong - Sydney , Flight Time: 8:05,07:12 , Cathay Pacific Airbus A350-1000 Landing from Hong Kong  ,432,,,,,
,32009,1655957368, QF7433 , BAc-146F Melbourne - Sydney , Flight Time: 1:00,07:50 , Cobham BAe-146-300QTF Landing from Melbourne ,470,,,,,
,32070,1655957429, HJL , Boeing 767F Auckland - Sydney , Flight Time: 3:00,08:51 , DHL Boeing 767-300F Landing from Auckland ,531,,,,,
,32106,1655957465, FX77 , Boeing 777F Honolulu - Sydney , Flight Time: 10:05,09:27 , FedEx Boeing 777-200F Landing from Honolulu ,567,,,,,
,32133,1655957492, FAX2017 , Airbus A550 Hong Kong - Sydney , Flight Time: 7:05,09:54 , Hong Kong Airlines Airbus A330-300 Landing from Hong Kong ,594,,,,,
,32169,1655957528, TG47S , Boeing 747 Bangkok - Sydney , Flight Time: 9:00,10:32 , Thai Airways Boeing 747-400 Landing from Bangkok,632,,,,,
,32228,1655957587, BA1LS , Boeing 777 Singapore - Sydney , Flight Time: 7:00,11:28 , British Airways Boeing 777-300ER Landing from Singapore ,688,,,,,
,32262,1655957621, P0241 , Boeing 767F Tokyo ~ Sydney , Flight Time: 10:00,12:04 , Polar Air Cargo Boeing 767-300F Landing from Tokyo ,724,,,,,
,32293,1655957652, 8C2203 , Boeing 767 Guam - Sydney , Flight Time: 6:10,12:33 , ATI Boeing 767-300F Landing from Guam ,753,,,,,
,32325,1655957684, CX101 , Boeing 777 Hong Kong - Sydney , Flight Time: 9:00,13:06 , Cathay Pacific Boeing 777-300ER Landing from Hong Kong,786,,,,,
,32359,1655957718, S$Q221 , Airbus A380 Singapore - Sydney , Flight Time: 7:30,13:40 , Singapore Airlines Airbus A380-800 Landing from Singapore ,820,,,,,
,32432,1655957791, KE121 , Airbus A580 Seoul - Sydney , Flight Time: 10:35,14:54 , Korean Air Airbus A380-800 Landing from Seoul ,894,,,,,
,32478,1655957837, QFS2S , Boeing 737 Brisbane - Sydney , Flight Time: 0:50,15:38 , Qantas Boeing 737-800 Landing from Brisbane  ,938,,,,,
,32511,1655957870, $Q7290 , Boeing 747F Singapore - Sydney , Flight Time: 7:30,16:13 , Singapore Airlines Boeing 747-400F Landing from Singapore ,973,,,,,
,32547,1655957906, FJLq11 , Airbus A330 Nadi - Sydney , Flight Time: 4:00,16:49 , Fiji Airways Airbus A330-300 Landing from Nadi,1009,,,,,
,32586,1655957945, QF7S24 , Boeing 767F Christchurch - Sydney , Flight Time: 3:00,17:28 , Qantas Freight Boeing 767-300F Landing from Christchurch  ,1048,,,,,
,32615,1655957974, QF1S84 , Boeing 717 Hobart - Sydney , Flight Time: 1:45,17:56 , QantasLink Boeing 717-200 Landing from Hobart ,1076,,,,,
,32692,1655958051, ULGO7 , Airbus A330 Colombo ~ Sydney , Flight Time: 9:50,19:15 , SriLankan Airlines Airbus A330-300 Landing from Colombo,1155,,,,,
,32727,1655958086, DL41 , Airbus A350 Los Angeles - Sydney , Flight Time: 12:15,19:54 , Delta Airlines Airbus A350-900 Landing from Los Angeles  ,1194,,,,,
,32780,1655958139, EK416 , Boeing 777 Dubai - Sydney , Flight Time: 13:50,20:42 , Emirates Boeing 777-300ER Landing from Dubai ,1242,,,,,
23,32850,1655958209, CZ344 , Airbus A380 Melbourne - Guangzhou , Flight Time: 9:15,00:00 , China Southern Airlines Airbus A380-800 Takeoff to Guangzhou ,0,,,,,
https://youtu.be/YtzYUmKMh7Y,32893,1655958252, UA28S55 , Boeing 777 Melbourne - San Francisco , Flight Time: 14:10,00:44 , United Airlines Boeing 777-300ER Takeoff to Los Angeles ,44,,,,,
,32924,1655958283, MU738 , Boeing 787 Melbourne - Shanghai , Flight Time: 10:35,01:16 , Shanghai Airlines Boeing 787-9 Takeoff to Shanghai ,76,,,,,
,32957,1655958316, QR883e , Boeing 777 Doha - Melbourne , Flight Time: 13:45,01:49 , Qatar Airways Boeing 777-300ER Landing from Doha ,109,,,,,
,32989,1655958348, QF417 , Airbus A330 Sydney - Melbourne , Flight Time: 1:00,02:23 , Qantas Airbus A330-300 Landing from Sydney,143,,,,,
,33024,1655958383, QF7SS@ , Boeing 747 Melbourne ~ Sydney , Flight Time: 1:00,02:57 , Atlas Air Boeing 747-8F Takeoff to Sydney ,177,,,,,
,33056,1655958415, CX24 , Boeing 747F Melbourne - Hong Kong , Flight Time: 4:15,03:29 , Cathay Pacific Cargo Boeing 747-8F Takeoff to Hong Kong,209,,,,,
,,,,,,04:03 , Vista Jet Bombardier Global 6000 Landing from Tokyo ,243,,,,,
,33136,1655958495, MH124 , Airbus A330 Kuala Lumpur - Melbourne , Flight Time: 7:30,04:48 , Malaysia Airlines Airbus A330-300 Landing from Kuala Lumpur ,288,,,,,
,33179,1655958538, Ek405 , Airbus A380 Melbourne - Singapore , Flight Time: 7:00,05:32 , Emirates Airbus A380-800 Takeoff to Singapore ,332,,,,,
,33213,1655958572, sJsO , Airbus A330 Melbourne - Manila , Flight Time: 8:45,06:06 , Cebu Pacific Airbus A330-300 Takeoff to Manila ,366,,,,,
,33247,1655958606, QRI04 , Airbus A350 Doha - Melbourne , Flight Time: 13:45,06:41 , Qatar Airways Airbus A350-1000 Landing from Doha  ,401,,,,,
,33285,1655958644, JD46e1 , Airbus A330 Qingdao - Melbourne , Flight Time: 10:45,07:18 , Capital Airlines Airbus A330-300 Landing from Qingdao  ,438,,,,,
,33325,1655958684, CX104 , Boeing 777 Hong Kong - Melbourne , Flight Time: 9:00,07:58 , Cathay Pacific Boeing 777-300ER Landing from Hong Kong ,478,,,,,
,33367,1655958726, AC2285 , Boeing 777 Vancouver - Melbourne , Flight Time: 3:25,08:39 , Air Canada Boeing 777-300ER Landing from Vancouver ,519,,,,,
,33447,1655958806, UA28S55 , Boeing 777 Melbourne - San Francisco , Flight Time: 14:10,10:02 , United Airlines Boeing 777-300ER Takeoff to San Francisco ,602,,,,,
,33511,1655958870, MU737 , Boeing 787 Shanghai - Melbourne , Flight Time: 10:20,11:03 , Shanghai Airlines Boeing 787-9 Landing from Shanghai ,663,,,,,
,33540,1655958899, NZ123, Boeing 787 Auckland - Melbourne , Flight Time: 3:00,11:33 , Air New Zealand Boeing 787-9 Landing from Auckland ,693,,,,,
,33582,1655958941, CX135 , Boeing 777 Hong kong ~ Melbourne , Flight Time: 7:00,12:15 , Cathay Pacific Boeing 777-300ER Landing from Hong Kong,735,,,,,
,33632,1655958991, QFqS , Boeing 747 Melbourne ~ Los Angeles , Flight Time: 13:50,13:08 , Qantas Boeing 747-400ER Takeoff to Los Angeles   ,788,,,,,
,33664,1655959023, QR8893 , Boeing 777F Melbourne ~ Singapore , Flight Time: 7:00,13:37 , Qatar Airways Cargo Boeing 777-200F Takeoff to Singapore,817,,,,,
,33694,1655959053, AWKS , Boeing 737F Auckland - Melbourne , Flight Time: 3:10,14:06 , Toll Boeing 737-400F Landing from Auckland ,846,,,,,
,33731,1655959090, R209 , Boeing 777 Manila - Melbourne , Flight Time: 8:15,14:43 , Philippine Airlines Boeing 777-300ER Landing from Manila  ,883,,,,,
,33812,1655959171, VN780 , Boeing 787 Melbourne - Ho Chi Minh City , Flight Time: 8:20,16:03 , Vietnam Airlines Boeing 787-10 Takeoff to Ho Chi Minh City  ,963,,,,,
,33864,1655959223, OD177 , Boeing 737 Denpasar - Melbourne , Flight Time: 5:00,16:56 , Malindo Boeing 737-900 Landing from Denpasar  ,1016,,,,,
,33899,1655959258, QRI04 , Airbus A350 Doha - Melbourne , Flight Time: 13:45,17:32 , Qatar Airways Airbus A350-1000 Landing from Doha ,1052,,,,,
,33940,1655959299, SQ208 , Boeing 787 Melbourne - Singapore , Flight Time: 7:00,18:12 , Singapore Airlines Boeing 787-10 Takeoff to Singapore ,1092,,,,,
,33969,1655959328, TR2S , Boeing 787 Singapore - Melbourne , Flight Time: 7:00,18:41 , FlyScoot Boeing 787-9 Landing from Singapore ,1121,,,,,
,34010,1655959369, EY460 , Boeing 787 Abu Dhabi - Melbourne , Flight Time: 13:30,19:22 , Etihad Airways Boeing 787-9 Landing from Abu Dhabi ,1162,,,,,
,34046,1655959405, AC2286 , Boeing 777 Melbourne - Auckland , Flight Time: 3:25,19:59 , Air Canada Boeing 787-9 Takeoff to Vancouver ,1199,,,,,
24,34114,1655959473, EY460 , Boeing 787 Abu Dhabi - Melbourne , Flight Time: 13:30,, Boeing 787 Abu Dhabi - Melbourne ,0,,,,,
https://youtu.be/VQ7kupQZOtY,34148,1655959507, VA28S4 , Boeing 777 San Francisco - Melbourne , Flight Time: 13:55,, Boeing 777 San Francisco - Melbourne ,34,,,,,
,34224,1655959583, ASYS3 , Airbus A340 Melbourne ~ Sydney , Flight Time: 1:00,, Airbus A340 Melbourne ~ Sydney ,110,,,,,
,34266,1655959625, JD46e1 , Airbus A330 Qingdao - Melbourne , Flight Time: 10:45,, Airbus A330 Qingdao - Melbourne ,152,,,,,
,34335,1655959694, SQ208 , Boeing 787 Melbourne - Singapore , Flight Time: 7:00,, Boeing 787 Melbourne - Singapore ,221,,,,,
,34395,1655959754, ASYS3 , Airbus A340 Melbourne ~ Sydney , Flight Time: 1:00,, Airbus A340 Melbourne ~ Sydney ,281,,,,,
,34442,1655959801, VA28S4 , Boeing 777 San Francisco - Melbourne , Flight Time: 13:55,, Boeing 777 San Francisco - Melbourne ,328,,,,,
,34486,1655959845, C€Z321 , Airbus A330 Guangzhou - Melbourne , Flight Time: 9:45,, Airbus A330 Guangzhou - Melbourne ,372,,,,,
,34568,1655959927, QR8837 , Boeing 777 Melbourne - Doha , Flight Time: 13:45,, Boeing 777 Melbourne - Doha ,454,,,,,
,34623,1655959982, MH124 , Airbus A330 Kuala Lumpur - Melbourne , Flight Time: 7:30,, Airbus A330 Kuala Lumpur - Melbourne ,509,,,,,
,34665,1655960024, AlZ04 , Boeing 787 Melbourne - Delhi , Flight Time: 10:25,, Boeing 787 Melbourne - Delhi ,551,,,,,
,34767,1655960126, EY463 , Boeing 777 Melbourne - Abu Dhabi , Flight Time: 13:30,, Boeing 777 Melbourne - Abu Dhabi ,653,,,,,
,34903,1655960262, SQ208 , Boeing 787 Melbourne - Singapore , Flight Time: 7:00,, Boeing 787 Melbourne - Singapore ,789,,,,,
,34956,1655960315, QR8892 , Boeing 777F Singapore - Melbourne , Flight Time: 7:00,, Boeing 777F Singapore - Melbourne ,842,,,,,
,34989,1655960348, Al308 , Boeing 787 Delhi - Melbourne , Flight Time: 10:25,, Boeing 787 Delhi - Melbourne ,875,,,,,
,35079,1655960438, OD178 , Boeing 737 Melbourne - Denpasar , Flight Time: 5:00,, Boeing 737 Melbourne - Denpasar ,965,,,,,
,35165,1655960524, BAVIO88 , Boeing 787 Hanoi - Melbourne , Flight Time: 8:35,, Boeing 787 Hanoi - Melbourne ,1051,,,,,
,35277,1655960636, VN780 , Boeing 787 Melbourne - Ho Chi Minh City , Flight Time: 8:20,, Boeing 787 Melbourne - Ho Chi Minh City ,1163,,,,,
,35330,1655960689, QRI04 , Airbus A350 Doha - Melbourne , Flight Time: 13:45,, Airbus A350 Doha - Melbourne ,1216,,,,,
,35357,1655960716, $Q207 , Boeing 787 Singapore ~ Melbourne , Flight Time: 7:00,, Boeing 787 Singapore ~ Melbourne ,1243,,,,,
,35380,1655960739, EK2665 , Boeing 777 Auckland - Melbourne , Flight Time: 3:30,, Boeing 777 Auckland - Melbourne ,1266,,,,,
,35427,1655960786, QR8837 , Boeing 777 Melbourne - Doha , Flight Time: 13:45,, Boeing 777 Melbourne - Doha ,1313,,,,,
,35507,1655960866, QF7433 , Boeing 737F Melbourne - Sydney , Flight Time: 1:00,, Boeing 737F Melbourne - Sydney ,1393,,,,,
,35548,1655960907, CX135 , Boeing 777 Hong kong - Melbourne , Flight Time: 7:00,, Boeing 777 Hong kong - Melbourne ,1434,,,,,
,35645,1655961004, QRI04 , Airbus A350 Doha - Melbourne , Flight Time: 13:45,, Airbus A350 Doha - Melbourne ,1531,,,,,
,35670,1655961029, QR8836 , Boeing 777 Doha - Melbourne , Flight Time: 13:45,, Boeing 777 Doha - Melbourne ,1556,,,,,
,35693,1655961052, ASY43 , Airbus A340 Brisbane - Melbourne , Flight Time: 2:00,, Airbus A340 Brisbane - Melbourne ,1579,,,,,
,35787,1655961146, GA7164 , Airbus A330neo Melbourne - Jakarta , Flight Time: 6:00,, Airbus A330neo Melbourne - Jakarta ,1673,,,,,
,35831,1655961190, $Q257 , Boeing 777 Singapore - Melbourne , Flight Time: 7:00,, Boeing 777 Singapore - Melbourne ,1717,,,,,
,35866,1655961225, EY461 , Airbus A380 Melbourne - Abu Dhabi , Flight Time: 13:45,, Airbus A380 Melbourne - Abu Dhabi ,1752,,,,,
,35905,1655961264, L524 , AlroUus A550 Gaungzhou - Melbourne , Flight Time: 9:15,, AlroUus A550 Gaungzhou - Melbourne ,1791,,,,,
,35995,1655961354, QF7342 , Boeing 737F Brisbane - Melbourne , Flight Time: 2:00,, Boeing 737F Brisbane - Melbourne ,1881,,,,,
,36029,1655961388, CX104 , Boeing 777 Hong Kong - Melbourne , Flight Time: 9:00,, Boeing 777 Hong Kong - Melbourne ,1915,,,,,
,36082,1655961441, GA716 , Boeing 777 Jakarta - Melbourne , Flight Time: 6:05,, Boeing 777 Jakarta - Melbourne ,1968,,,,,
,36156,1655961515, EK2665 , Boeing 777 Auckland - Melbourne , Flight Time: 3:30,, Boeing 777 Auckland - Melbourne ,2042,,,,,
,36188,1655961547, GA7164 , Airbus A330neo Jakarta - Melbourne , Flight Time: 6:00,, Airbus A330neo Jakarta - Melbourne ,2074,,,,,
,36249,1655961608, CX1OS , Boeing 777 Melbourne ~ Hong Kong , Flight Time: 9:00,, Boeing 777 Melbourne ~ Hong Kong ,2135,,,,,
,36311,1655961670, K4246, Boeing 747 Sydney - Melbourne , Flight Time: 1:00,, Boeing 747 Sydney - Melbourne ,2197,,,,,
,36347,1655961706, R209 , Boeing 777 Manila - Melbourne , Flight Time: 8:15,, Boeing 777 Manila - Melbourne ,2233,,,,,
,36410,1655961769, VN781 , Boeing 787 Ho Chi Minh City - Melbourne , Flight Time: 8:05,, Boeing 787 Ho Chi Minh City - Melbourne ,2296,,,,,
,36442,1655961801, AWKS , Boeing 737F Auckland - Melbourne , Flight Time: 3:10,, Boeing 737F Auckland - Melbourne ,2328,,,,,
,36483,1655961842, CZ321 , Boeing 787 Guangzhou ~ Melbourne , Flight Time: 9:15,, Boeing 787 Guangzhou ~ Melbourne ,2369,,,,,
,36566,1655961925, VDA3664 , Ilyushin IL-76 Melbourne - Surabaya , Flight Time: 6:00,, Ilyushin IL-76 Melbourne - Surabaya ,2452,,,,,
,36617,1655961976, HX201S , Airbus A530 Hong Kong - Melbourne , Flight Time: 7:00,, Airbus A530 Hong Kong - Melbourne ,2503,,,,,
,36716,1655962075, K4247 , Boeing 777F Melbourne - Hong Kong , Flight Time: 4:00,, Boeing 777F Melbourne - Hong Kong ,2602,,,,,
,36788,1655962147, QF417 , Boeing 747 Sydney - Melbourne , Flight Time: 1:00,, Boeing 747 Sydney - Melbourne ,2674,,,,,
,36825,1655962184, CX104 , Boeing 777 Hong Kong - Melbourne , Flight Time: 9:00,, Boeing 777 Hong Kong - Melbourne ,2711,,,,,
,36868,1655962227, CZ321 , Boeing 787 Guangzhou - Melbourne , Flight Time: 9:15,, Boeing 787 Guangzhou - Melbourne ,2754,,,,,
,36913,1655962272, QRI04 , Airbus A350 Doha - Melbourne , Flight Time: 13:45,, Airbus A350 Doha - Melbourne ,2799,,,,,
,36946,1655962305, VDA2087 , Antonov AN-124F Melbourne - Perth , Flight Time: 4:00,, Antonov AN-124F Melbourne - Perth ,2832,,,,,
,37020,1655962379, CZ344 , Boeing 787 Melbourne - Guangzhou , Flight Time: 9:15,, Boeing 787 Melbourne - Guangzhou ,2906,,,,,
,37070,1655962429, VA28S4 , Boeing 777 San Francisco - Melbourne , Flight Time: 13:55,, Boeing 777 San Francisco - Melbourne ,2956,,,,,
,37130,1655962489, VA28S4 , Boeing 777 San Francisco - Melbourne , Flight Time: 13:55,, Boeing 777 San Francisco - Melbourne ,3016,,,,,
,37162,1655962521, GA716 , Airbus A330 Jakarta - Melbourne , Flight Time: 6:05,, Airbus A330 Jakarta - Melbourne ,3048,,,,,
,37226,1655962585, K9352 , Boeing 777F Melbourne - Hong Kong , Flight Time: 7:00,, Boeing 777F Melbourne - Hong Kong ,3112,,,,,
,37264,1655962623, VDA3664 , Ilyushin IL-76 Melbourne - Surabaya , Flight Time: 6:00,, Ilyushin IL-76 Melbourne - Surabaya ,3150,,,,,
,37306,1655962665, EK9820 , Boeing 777F Sydney - Melbourne , Flight Time: 1:00,, Boeing 777F Sydney - Melbourne ,3192,,,,,
,37382,1655962741, CZ344 , Airbus A380 Melbourne - Guangzhou , Flight Time: 9:15,, Airbus A380 Melbourne - Guangzhou ,3268,,,,,
,37471,1655962830, UA28S55 , Boeing 777 Melbourne - San Francisco , Flight Time: 14:10,, Boeing 777 Melbourne - San Francisco ,3357,,,,,
,37519,1655962878, QR8892 , Boeing 777F Singapore - Melbourne , Flight Time: 7:00,, Boeing 777F Singapore - Melbourne ,3405,,,,,
,37557,1655962916, RA4135 , Airbus A330 Kathmandu - Melbourne , Flight Time: 9:30,, Airbus A330 Kathmandu - Melbourne ,3443,,,,,
,37595,1655962954, QR883e , Boeing 777 Doha - Melbourne , Flight Time: 13:45,, Boeing 777 Doha - Melbourne ,3481,,,,,
,37656,1655963015, PR210 , Boeing 777 Melbourne - Manila , Flight Time: 8:45,, Boeing 777 Melbourne - Manila ,3542,,,,,
,37705,1655963064, AWKS , Boeing 737F Auckland - Melbourne , Flight Time: 3:10,, Boeing 737F Auckland - Melbourne ,3591,,,,,
